text,sentiment
Your order has been successfully delivered!,positive
Thank you for choosing our service!,positive
We appreciate your feedback and look forward to serving you again.,positive
Congratulations! You've been selected for a reward.,positive
Your payment was received successfully.,positive
Our representative will call you shortly.,positive
Your subscription is active and valid until 2026.,positive
Awesome! You just earned 50 loyalty points.,positive
Your return request has been approved.,positive
Your appointment is confirmed for tomorrow at 3 PM.,positive
Your feedback made our day. Thank you!,positive
Discount applied successfully. Enjoy your shopping!,positive
Your recharge was completed successfully.,positive
We value you as our premium customer.,positive
Your gift voucher has been activated.,positive
Limited-time offer: 40% off for all premium users!,positive
Exciting news! New features are now available in your app.,positive
Refer your friends and earn extra rewards!,positive
Congratulations! You’re now a Gold Member.,positive
Enjoy ad-free access for the next 30 days.,positive
Package shipped. Expected delivery by 6 PM today.,neutral
Your OTP for verification is 285639.,neutral
Meeting reminder: 11:30 AM at HQ Room 5.,neutral
System update scheduled at midnight.,neutral
Your subscription will renew automatically next month.,neutral
Invoice generated and sent to your registered email.,neutral
Ticket ID 15423 is under process.,neutral
Your account balance is ₹524.78.,neutral
Payment of ₹1200 scheduled for 10th Nov.,neutral
We are verifying your request. Please wait.,neutral
Update: Our office timings will change from next week.,neutral
Please verify your email to continue.,neutral
You’re registered for webinar 'AI in Communication'.,neutral
New version available. Tap to update now.,neutral
Your support ticket has been assigned to an agent.,neutral
Your account statement is ready for download.,neutral
Session timeout after 10 minutes of inactivity.,neutral
Reminder: Feedback survey closes tomorrow.,neutral
Your profile information has been updated.,neutral
Tracking ID created. Await pickup confirmation.,neutral
Unable to process your payment. Try again later.,negative
Your session has expired. Please log in again.,negative
Payment failed due to insufficient balance.,negative
Service temporarily unavailable. We apologize for the inconvenience.,negative
We couldn’t locate your delivery address.,negative
Invalid credentials. Access denied.,negative
We are experiencing delays due to server issues.,negative
"Sorry, your request could not be processed at this time.",negative
Delivery failed. Recipient unavailable.,negative
Subscription expired. Please renew to continue.,negative
We regret the delay in resolving your complaint.,negative
Your refund request was declined.,negative
Account suspended due to multiple failed login attempts.,negative
Offer expired. Please check new deals on our website.,negative
Unexpected error occurred. Please contact support.,negative
Recharge unsuccessful. Please retry.,negative
We are sorry for the poor experience you had.,negative
Complaint received. Investigation ongoing.,negative
Technical issue detected. Our team is on it.,negative
Login attempt blocked due to suspicious activity.,negative
